1,Star Wars: The Last Jedi,BV,596006158,4232,220009584,4232,15-Dec
2,Beauty and the Beast (2017),BV,504014165,4210,174750616,4210,17-Mar
3,Wonder Woman,WB,412563408,4165,103251471,4165,2-Jun
4,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5-May
5,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7-Jul
6,It,WB (NL),327481748,4148,123403419,4103,8-Sep
7,Thor: Ragnarok,BV,313137846,4080,122744989,4080,3-Nov
8,Jumanji: Welcome to the Jungle,Sony,293730029,3849,36169328,3765,20-Dec
9,Despicable Me 3,Uni.,264624300,4535,72434025,4529,30-Jun
10,Justice League,WB,227543017,4051,93842239,4051,17-Nov
11,Logan,Fox,226277068,4071,88411916,4071,3-Mar
12,The Fate of the Furious,Uni.,226008385,4329,98786705,4310,14-Apr
13,Coco,BV,198435809,3987,50802605,3987,22-Nov
14,Dunkirk,WB,188045546,4014,50513488,3720,21-Jul
15,The LEGO Batman Movie,WB,175750384,4088,53003468,4088,10-Feb
16,Get Out,Uni.,175686870,3143,33377060,2781,24-Feb
17,The Boss Baby,Fox,175003033,3829,50198902,3773,31-Mar
18,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,26-May
19,Kong: Skull Island,WB,168052812,3846,61025472,3846,10-Mar
20,Cars 3,BV,152901115,4256,53688680,4256,16-Jun
21,War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,14-Jul
22,Split,Uni.,138291365,3373,40010975,3038,20-Jan
23,Transformers: The Last Knight,Par.,130168683,4132,44680073,4069,21-Jun
24,Wonder,LGF,129139157,3519,27547866,3096,17-Nov
25,Girls Trip,Uni.,115171585,2648,31201920,2591,21-Jul
26,Fifty Shades Darker,Uni.,114581250,3714,46607250,3710,10-Feb
27,Baby Driver,TriS,107825862,3226,20553320,3226,28-Jun
28,Daddy's Home 2,Par.,103305856,3575,29651193,3575,10-Nov
29,Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,11-Aug
30,Murder on the Orient Express (2017),Fox,102069741,3354,28681472,3341,10-Nov
